ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Human Development Index (2021),Life Expectancy at Birth (2021),Expected Years of Schooling (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),GDI Group (2021),Gender Development Index (2021),HDI female (2021),"Life Expectancy at Birth, female (2021)","Expected Years of Schooling, female (2021)","Mean Years of Schooling, female (2021)","Gross National Income Per Capita, female (2021)",HDI male (2021),"Life Expectancy at Birth, male (2021)","Expected Years of Schooling, male (2021)","Mean Years of Schooling, male (2021)","Gross National Income Per Capita, male (2021)",Inequality-adjusted Human Development Index (2021),Coefficient of human inequality (2021),Overall loss (%) (2021),Inequality in life expectancy (2021),Inequality in eduation (2021),Inequality in income (2021),GII Rank (2021),Gender Inequality Index (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) (2021)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2021)","Labour force participation rate, female (% ages 15 and older) (2021)","Labour force participation rate, male (% ages 15 and older) (2021)",Difference from HDI rank (2021),Planetary pressures-adjusted Human Development Index (2021),Difference from HDI value (%) (2021),Carbon dioxide emissions per capita (production) (tonnes) (2021),Material footprint per capita (tonnes) (2021)
KWT,Kuwait,Very High,AS,50,0.831,78.6729,15.32443332,7.328022618,52919.76137,1,1.009,0.830933447,81.4628,16.98758886,8.123162299,28085.58009,0.823823695,77.1925,13.88226562,6.93646169,68826.81822,,,,5.555344582,22.10817735,,74,0.305,12,5.638,47.428,83.804,-100,0.452,45.60770156,20.82510746,65.32
LAO,Lao,Medium,EAP,140,0.607,68.0608,10.13611031,5.374,7699.579617,3,0.949,0.590907405,70.0778,9.9354496,5.008,6756.891319,0.622723509,66.1536,10.33197975,5.764,8627.13168,0.459,24.17681998,24.38220758,20.62915993,31.31796,20.58334,120,0.478,185,73.175,74.785,78.093,-3,0.559,7.907742998,4.652122998,9.64
LBN,Lebanon,High,AS,112,0.706,75.0472,11.28587,8.718636,9525.831467,5,0.882,0.649614298,77.2512,11.11914,8.4842,3814.522565,0.736555974,72.8466,11.4526,8.9158,15585.79769,,,,5.557227612,6.177,,108,0.432,29,20.306,20.75,64.332,2,0.646,8.498583569,3.804777564,12.4
LBR,Liberia,Low,SSA,178,0.481,60.7472,10.42078972,5.082,1288.74235,5,0.871,0.446593576,62.0722,10.12086582,3.866,1061.548441,0.512798524,59.4109,10.75482082,6.308,1517.963775,0.33,30.66384255,31.39293139,30.12607765,42.11968,19.74577,164,0.648,661,123.38,69.782,79.717,3,0.474,1.455301455,0.199498545,2.71
LBY,Libya,High,AS,104,0.718,71.9112,12.85428,7.599985,15335.712,1,0.975,0.708031742,74.3956,13.06487113,8.47,9569.732068,0.726310597,69.6305,12.64368887,7.214,20960.07529,,,,7.824037075,,,61,0.259,72,6.93,34.119,60.969,-12,0.626,12.81337047,7.381523009,16.08
LCA,Saint Lucia,High,LAC,106,0.715,71.1114,12.86610985,8.545040131,12048.30381,1,1.011,0.718726697,74.7166,13.35690022,8.804559708,9990.617758,0.710892671,67.8378,12.37703991,8.290690422,14146.97469,0.559,21.32341215,21.81818182,9.268698692,27.30567775,27.39586,91,0.381,117,36.918,63.158,73.228,,,,2.395617202,
LIE,Liechtenstein,Very High,,16,0.935,83.2575,15.18157005,12.53854,146829.7006,,,,85.35,14.16571045,,,,81.101,16.17333984,,,,,,4.739531994,,,,,,3.019,,,,,,3.698331935,
LKA,Sri Lanka,High,SA,73,0.782,76.3991,14.13990486,10.82730007,12578.22055,3,0.949,0.754666487,79.5018,14.49209703,10.83043003,7004.61099,0.794880643,73.1101,13.78702118,10.82703018,18573.30255,0.676,13.18638698,13.55498721,5.198720932,11.99693,22.36351,92,0.383,36,15.65,30.897,68.495,46,0.761,2.685421995,0.985665463,4.36
LSO,Lesotho,Low,SSA,168,0.514,53.062,12.04087801,6.010184707,2700.435748,1,0.985,0.511123839,55.9266,12.43076407,6.56167247,2106.602857,0.519143817,50.3736,11.66055444,5.982824978,3310.125224,0.372,27.39429777,27.62645914,33.0491333,19.55712,29.57664,144,0.557,544,89.568,56.071,71.343,,,,1.019209252,
LTU,Lithuania,Very High,,35,0.875,73.7201,16.28506088,13.49810028,37931.30359,2,1.03,0.887521885,78.775,16.73283958,13.58351994,33891.36872,0.861661897,68.7778,15.85984993,13.39519978,42500.04326,0.8,8.316025071,8.571428571,4.317045212,3.57741,17.05362,30,0.105,8,10.377,57.338,67.865,-34,0.679,22.4,5.069079734,40.13
LUX,Luxembourg,Very High,,17,0.93,82.6287,14.39813995,13.01519217,84649.47467,1,0.993,0.924607692,84.8055,14.38416004,13.0062666,70117.37449,0.931456058,80.4463,14.41333008,13.02411775,98991.3462,0.85,8.413193197,8.602150538,3.870309591,4.71707,16.6522,9,0.044,5,4.304,58.481,65.544,-73,0.645,30.64516129,13.05892539,45.47
LVA,Latvia,Very High,,39,0.863,73.5786,16.20252991,13.25271988,32803.23423,1,1.025,0.872905527,77.8257,16.7930603,13.56832981,27882.28493,0.851825526,69.2021,15.63866997,12.89021969,38506.11171,0.792,7.961744167,8.227114716,4.207252502,2.22774,17.45024,40,0.151,19,11.216,54.542,66.827,-8,0.716,17.03360371,3.590715291,31.04
MAR,Morocco,Medium,AS,123,0.683,74.0419,14.15190983,5.916,7302.81917,5,0.861,0.621251796,76.3977,13.91057014,4.988,3193.533301,0.721809682,71.8927,14.39321041,6.866,11356.02315,0.504,25.09769131,26.2079063,10.91862392,41.87093,22.50352,104,0.425,70,25.936,22.009,65.95,22,0.652,4.538799414,1.74845085,6.95
MDA,Moldova,High,ECA,80,0.767,68.8459,14.43299961,11.82159042,14875.33189,1,1.01,0.770773099,73.5466,14.75263023,11.85783958,12086.96092,0.763199634,64.4433,14.12357998,11.78106976,17961.16854,0.711,7.297466136,7.301173403,8.885082245,2.570094084,10.43722208,51,0.205,19,27.795,33.877,43.932,44,0.748,2.477183833,1.275891722,3.41
MDG,Madagascar,Low,SSA,173,0.501,64.4853,10.13499142,5.120468534,1483.520983,2,0.956,0.489879193,66.8701,10.1833395,4.914466457,1283.799532,0.512325749,62.2341,10.08976666,5.339324566,1682.329777,0.367,26.85263932,26.74650699,23.65509796,29.34582,27.557,143,0.556,335,119.429,81.531,87.595,5,0.497,0.798403194,0.132880633,1.51
MDV,Maldives,High,SA,90,0.747,79.9182,12.63560963,7.322,15448.12788,3,0.925,0.708976174,81.0193,14.17418957,7.12,6358.736535,0.76638536,79.082,11.93892956,7.528,22119.14901,0.594,19.76629861,20.48192771,4.133515835,29.31948,25.8459,83,0.348,53,7.291,34.326,67.494,,,,3.32350373,
MEX,Mexico,High,LAC,86,0.758,70.2127,14.86443996,9.221050262,17896.29498,1,0.989,0.752508708,74.8637,15.21201038,9.096670151,12455.76625,0.761102122,66.0556,14.51403046,9.358039856,23600.05963,0.621,17.59461132,18.07387863,9.496991158,13.48795481,29.798888,75,0.309,33,54.369,43.809,75.415,21,0.704,7.124010554,2.76863785,10.85
MHL,Marshall Islands,Medium,EAP,131,0.639,65.2688,10.2393198,10.88313961,4619.535393,,,,67.1997,10.37392998,10.70687008,,,63.6922,10.1091404,11.05574989,,,,,17.46094704,4.779338113,,,,,58.035,,,,,,2.555837135,
MKD,North Macedonia,High,ECA,78,0.77,73.8415,13.62443234,10.22815037,15917.75283,3,0.945,0.746188014,76.1561,13.86275189,9.653639793,11146.83902,0.789290229,71.6616,13.39966973,10.8074398,20715.67172,0.686,10.64682541,10.90909091,4.415046215,8.36817,19.15726,37,0.134,7,16.367,42.397,63.444,15,0.707,8.181818182,3.430253041,12.29
MLI,Mali,Low,SSA,186,0.428,58.9414,7.423037617,2.31,2132.629443,5,0.887,0.399133986,60.331,6.795167146,2.384,1482.689243,0.449875276,57.6179,7.947588782,2.198,2769.847654,0.291,31.07790617,32.00934579,32.81034851,43.85965,16.56372,155,0.613,562,150.062,57.678,79.673,0,0.418,2.336448598,0.167400521,4.57
MLT,Malta,Very High,,23,0.918,83.7769,16.83856964,12.21026039,38884.45623,1,0.98,0.906805757,86.1085,17.38516045,12.00041962,30282.10148,0.925314241,81.4414,16.32799911,12.40596962,46821.01324,0.849,7.425981436,7.516339869,3.227544308,5.19238,13.85802,42,0.167,6,11.484,53.084,71.413,-22,0.72,21.56862745,3.612105729,40.67
MMR,Myanmar,Medium,EAP,149,0.585,65.6716,10.90913752,6.37680006,3850.524234,3,0.944,0.565270826,69.0009,11.11379202,6.094560146,2618.856773,0.598757287,62.5463,10.70448302,6.730899811,5092.894981,,,,21.22284508,26.85272,,125,0.498,250,33.043,40.987,69.962,11,0.577,1.367521368,0.667627891,2.06
MNE,Montenegro,Very High,ECA,49,0.832,76.3426,15.08160973,12.17648306,20838.80129,1,0.981,0.823404193,79.8119,15.60083008,11.795824,15934.76249,0.839623822,72.9973,14.60348034,12.59037047,26000.74277,0.756,9.010792996,9.134615385,2.293318987,7.81501,16.92405,32,0.119,6,10.361,47.817,62.006,,,,3.677798193,
MNG,Mongolia,High,EAP,96,0.739,70.9754,14.98034954,9.423700333,10588.22532,2,1.031,0.748987477,75.6958,15.57209015,9.949589729,8540.719845,0.726425808,66.5368,14.39468002,8.847709656,12666.36521,0.644,12.72536745,12.85520974,9.34619236,11.88363,16.94628,76,0.313,45,26.708,51.495,66.572,-35,0.557,24.62787551,26.97802818,10.62
MOZ,Mozambique,Low,SSA,185,0.446,59.3247,10.2191516,3.197641838,1198.073924,4,0.922,0.428013032,62.4325,9.787595092,2.431994619,1095.666257,0.464036211,56.2044,10.65669147,4.095451061,1304.403085,0.3,32.40842271,32.73542601,28.29929733,40.5314308,28.39454,136,0.537,289,165.778,77.657,78.931,1,0.441,1.121076233,0.210232236,2.19
MRT,Mauritania,Medium,SSA,158,0.556,64.3636,9.376159668,4.918804891,5075.305711,5,0.89,0.517783712,66.0979,9.570549965,4.634968748,2603.57743,0.581885717,62.6661,9.187669754,5.326898062,7649.589434,0.389,29.02167279,30.03597122,25.73825836,43.98689,17.33987,161,0.632,766,78.013,27.396,62.19,3,0.533,4.136690647,0.726332991,7.75
MUS,Mauritius,Very High,SSA,63,0.802,73.5552,15.17352977,10.42791048,22025.34631,2,0.973,0.789107668,76.8265,15.90719008,10.04156148,15015.82114,0.811010462,70.44,14.46316987,10.85802176,29221.04434,0.666,16.9101772,16.95760599,10.63656712,21.91298205,18.18098242,82,0.347,61,24.564,43.404,70.448,,,,3.129029823,
MWI,Malawi,Low,SSA,169,0.512,62.9044,12.67898523,4.489695385,1465.635064,2,0.968,0.502014032,66.4685,12.8264208,4.104782854,1231.629024,0.518874061,59.4935,12.5388703,4.667895015,1712.904592,0.377,26.32042065,26.3671875,19.67700195,28.00731,31.27695,142,0.554,349,117.865,71.559,79.953,3,0.508,0.78125,0.072922295,1.71
MYS,Malaysia,Very High,EAP,62,0.803,74.8839,13.34304047,10.64505959,26657.94355,1,0.982,0.794154156,77.3623,13.84428024,10.56863976,20671.56073,0.809075378,72.659,12.87180996,10.71778011,32379.57974,,,,6.002527237,12.06360206,,57,0.228,29,9.271,51.188,77.551,-10,0.681,15.19302615,8.422647483,19.59
NAM,Namibia,Medium,SSA,139,0.615,59.269,11.92720692,7.192013277,8633.504452,1,1.004,0.615799013,62.9849,11.89989359,7.454418013,7270.704656,0.613057327,55.7206,11.94272709,6.912215715,10094.30815,0.402,32.83945475,34.63414634,19.91711426,25.01567,53.58558,111,0.445,195,64.944,54.532,62.181,2,0.574,6.666666667,1.525913011,11.92
NER,Niger,Low,SSA,189,0.4,61.5763,6.957111988,2.116717299,1239.866936,5,0.835,0.364314532,62.7943,6.260139106,1.708291787,936.4848434,0.436370503,60.4065,7.638220809,2.789487771,1534.591089,0.292,26.71059986,27,28.73307037,34.96483,16.43389921,153,0.611,509,170.462,61.73,84.267,1,0.392,2,0.069832068,4.19
NGA,Nigeria,Low,SSA,163,0.535,52.676,10.12758388,7.181074153,4790.284425,5,0.863,0.495057927,53.0701,9.578901345,6.144916176,3758.755164,0.573601517,52.2846,10.79903901,8.249763834,5800.263163,0.341,36.02441703,36.26168224,39.60649109,40.41507,28.05169,168,0.68,917,101.675,47.93,59.591,3,0.524,2.056074766,0.608631271,3.6
NIC,Nicaragua,Medium,LAC,126,0.667,73.8368,12.64135783,7.144,5624.793595,2,0.956,0.647750656,76.8026,12.65479952,7.42,3646.341023,0.677703928,70.8357,12.62791614,6.84,7661.434052,0.516,22.12122876,22.63868066,9.870848656,25.79903661,30.693801,102,0.424,98,85.648,46.803,81.299,19,0.647,2.99850075,0.76589307,5.4
NLD,Netherlands,Very High,,10,0.941,81.6873,18.69316522,12.58162975,55979.411,2,0.968,0.924997733,83.3568,19.00924791,12.3527298,46301.34118,0.956065754,79.9974,18.38851776,12.81820965,65778.44697,0.878,6.697945352,6.695005313,3.334346056,4.86674,11.89275,5,0.025,5,2.804,62.444,71.315,-18,0.745,20.82890542,8.059593325,32.26
NOR,Norway,Very High,,2,0.961,83.2339,18.18519974,13.00362968,64660.10622,1,0.983,0.949899881,84.8787,18.88678932,13.13508034,54699.44556,0.966060981,81.5622,17.52532959,12.87032032,74444.99092,0.908,5.435151511,5.51508845,2.541614532,2.3324,11.43144,2,0.016,2,2.336,60.294,71.95,-34,0.734,23.62122789,7.615046075,38.82
NPL,Nepal,Medium,SA,143,0.602,68.4495,12.88694954,5.121792742,3877.315444,3,0.942,0.584364172,70.3617,12.9240799,4.160869361,3677.183143,0.620507697,66.5739,12.84980011,6.220635063,4095.455108,0.449,24.31912877,25.41528239,15.5418663,41.0992,16.31632,113,0.452,186,63.837,78.691,80.772,7,0.584,2.990033223,0.582002668,5.58
NZL,New Zealand,Very High,,13,0.937,82.4513,20.28388977,12.94468975,44057.31394,1,0.975,0.924682807,84.3213,20.80978012,12.93587971,36864.4872,0.948211623,80.5756,19.73480988,12.95394039,51377.47558,0.865,7.486808254,7.684098186,4.170894623,1.840131778,16.44939836,25,0.088,9,12.63,65.075,75.33,-6,0.756,19.31696905,6.941846236,30.7
OMN,Oman,Very High,AS,54,0.816,72.5406,14.57349014,11.65404034,27054.32505,4,0.9,0.751838584,74.7155,15.04283047,12.05675983,7169.212169,0.83546697,70.9841,14.49594021,11.44030952,39717.23072,0.708,13.04890453,13.23529412,7.109055996,11.94880067,20.08885691,72,0.3,19,9.944,28.721,85.042,1,0.71,12.99019608,12.17292984,8.91
PAK,Pakistan,Low,SA,161,0.544,66.0979,8.658349991,4.536330223,4623.70543,5,0.81,0.471396425,68.6228,8.102529526,3.896490097,1569.380313,0.581877317,63.7866,9.173430443,5.035349846,7619.734622,0.38,29.21919322,30.14705882,26.89546967,43.52795,17.23416,135,0.534,140,42.269,20.727,78.079,5,0.531,2.389705882,1.062756182,3.45
PAN,Panama,Very High,LAC,61,0.805,76.2233,13.05787868,10.54059029,26956.83707,1,1.017,0.811685938,79.594,13.64869808,10.79374981,23379.65029,0.798281932,73.0499,12.48239661,10.26064968,30531.10001,0.64,19.60325211,20.49689441,10.8678236,11.37222672,36.569706,96,0.392,52,69.912,50.39,72.572,24,0.74,8.074534161,2.498280904,13.48
PER,Peru,High,LAC,84,0.762,72.3769,15.38773354,9.885518863,12245.89366,2,0.95,0.742054002,74.7462,15.225974,9.325330482,9812.535596,0.781076189,70.1206,15.54962308,10.45869538,14726.65802,0.635,16.42213438,16.66666667,8.638419151,14.32733,26.300654,90,0.38,88,56.756,66.069,81.875,31,0.721,5.380577428,1.355886751,9.43
PHL,Philippines,Medium,EAP,116,0.699,69.2664,13.12656975,8.969099998,8920.428468,1,0.99,0.6947065,71.4822,13.48997021,9.232720375,7486.718235,0.701549702,67.1717,12.78559017,8.702549934,10310.62961,0.574,17.52378166,17.88268956,14.38008499,10.0958,28.09546,101,0.419,121,48.202,43.836,68.302,20,0.664,5.007153076,1.241254444,8.77
PLW,Palau,High,EAP,80,0.767,66.0204,15.78432,12.49143,13818.67869,,,,70.5753,15.98627,,,,62.4323,15.53672,,,,,,12.47459698,2.180765728,,,,,42.52,,,,,,12.12335581,
PNG,Papua New Guinea,Medium,EAP,156,0.558,65.3506,10.36077074,4.74,4008.623573,3,0.931,0.537933947,68.4151,9.825603009,4.08,3542.526014,0.577731745,62.9479,10.86853449,5.378,4445.1171,0.397,28.47612536,28.85304659,20.87701607,35.65204,28.89932,169,0.725,145,55.25,46.254,48.14,4,0.541,3.046594982,0.74349862,5.23
